dateTime,timestamp,status,latitudeCoordinate,longitudeCoordinate,latitude,latitudeDirection,longitude,longitudeDirection,speedOverGround,trueCourse,dateStamp
2020-03-09 00:14:24.030300,05:14:24,A,32.8543955,-96.67428933333333,3251.26373,N,09640.45736,W,0.12,,2020-03-09
2020-03-09 00:14:27.028265,05:14:27,A,32.8544015,-96.67429050000001,3251.26409,N,09640.45743,W,0.04,,2020-03-09
2020-03-09 00:14:30.024326,05:14:30,A,32.854406000000004,-96.67429216666666,3251.26436,N,09640.45753,W,0.126,,2020-03-09
2020-03-09 00:14:32.030283,05:14:32,A,32.854403833333336,-96.67429133333331,3251.26423,N,09640.45748,W,0.09,,2020-03-09
2020-03-09 00:14:35.030283,05:14:35,A,32.854403166666664,-96.67429083333333,3251.26419,N,09640.45745,W,0.06,,2020-03-09
2020-03-09 00:14:38.028556,05:14:38,A,32.85440083333334,-96.67428933333333,3251.26405,N,09640.45736,W,0.079,,2020-03-09
2020-03-09 00:14:40.031112,05:14:40,A,32.8543985,-96.67428833333334,3251.26391,N,09640.45730,W,0.07,,2020-03-09
2020-03-09 00:14:43.030609,05:14:43,A,32.8543965,-96.67428749999999,3251.26379,N,09640.45725,W,0.064,,2020-03-09
2020-03-09 00:14:46.029617,05:14:46,A,32.85439316666667,-96.67428566666668,3251.26359,N,09640.45714,W,0.021,,2020-03-09
2020-03-09 00:14:49.027999,05:14:49,A,32.85439083333333,-96.67428399999999,3251.26345,N,09640.45704,W,0.046,,2020-03-09
2020-03-09 00:14:52.026942,05:14:52,A,32.85439083333333,-96.67428433333335,3251.26345,N,09640.45706,W,0.039,,2020-03-09
2020-03-09 00:14:55.028313,05:14:55,A,32.8543915,-96.67428466666667,3251.26349,N,09640.45708,W,0.102,,2020-03-09
2020-03-09 00:15:00.027699,05:15:00,A,32.854387333333335,-96.67428066666668,3251.26324,N,09640.45684,W,0.014,,2020-03-09
2020-03-09 00:15:03.028085,05:15:03,A,32.854384833333334,-96.67427799999999,3251.26309,N,09640.45668,W,0.066,,2020-03-09
2020-03-09 00:15:05.032435,05:15:05,A,32.85438466666667,-96.67427783333332,3251.26308,N,09640.45667,W,0.029,,2020-03-09
2020-03-09 00:15:08.027997,05:15:08,A,32.85438316666667,-96.67427633333334,3251.26299,N,09640.45658,W,0.041,,2020-03-09
2020-03-09 00:15:11.030212,05:15:11,A,32.85438283333334,-96.67427533333333,3251.26297,N,09640.45652,W,0.073,,2020-03-09
2020-03-09 00:15:14.029918,05:15:14,A,32.85437916666667,-96.6742715,3251.26275,N,09640.45629,W,0.323,,2020-03-09
2020-03-09 00:15:17.029289,05:15:17,A,32.854377666666664,-96.67427049999999,3251.26266,N,09640.45623,W,0.072,,2020-03-09
2020-03-09 00:15:20.029267,05:15:20,A,32.854375499999996,-96.67426983333334,3251.26253,N,09640.45619,W,0.07,,2020-03-09
2020-03-09 00:15:23.030834,05:15:23,A,32.85437233333334,-96.67426750000001,3251.26234,N,09640.45605,W,0.035,,2020-03-09
2020-03-09 00:15:26.027785,05:15:26,A,32.85437116666667,-96.67426583333332,3251.26227,N,09640.45595,W,0.065,,2020-03-09
2020-03-09 00:15:29.028107,05:15:29,A,32.85437533333334,-96.67426849999998,3251.26252,N,09640.45611,W,0.127,,2020-03-09
2020-03-09 00:15:32.024617,05:15:32,A,32.854381,-96.67427333333332,3251.26286,N,09640.45640,W,0.106,,2020-03-09
2020-03-09 00:15:34.027631,05:15:34,A,32.85437983333334,-96.67427266666667,3251.26279,N,09640.45636,W,0.071,,2020-03-09
2020-03-09 00:15:36.032981,05:15:36,A,32.85438283333334,-96.67427449999998,3251.26297,N,09640.45647,W,0.147,,2020-03-09
2020-03-09 00:15:39.025428,05:15:39,A,32.85438116666667,-96.67427266666667,3251.26287,N,09640.45636,W,0.364,,2020-03-09
2020-03-09 00:15:41.027945,05:15:41,A,32.85438016666667,-96.67427199999999,3251.26281,N,09640.45632,W,0.221,,2020-03-09
2020-03-09 00:15:44.024577,05:15:44,A,32.854381333333336,-96.67427383333333,3251.26288,N,09640.45643,W,0.204,,2020-03-09
2020-03-09 00:15:49.025857,05:15:49,A,32.85438083333334,-96.67426983333334,3251.26285,N,09640.45619,W,0.04,,2020-03-09
2020-03-09 00:15:52.024758,05:15:52,A,32.85438516666667,-96.67427016666667,3251.26311,N,09640.45621,W,0.661,,2020-03-09
2020-03-09 00:15:54.027744,05:15:54,A,32.8543885,-96.67427183333332,3251.26331,N,09640.45631,W,0.103,,2020-03-09
2020-03-09 00:15:57.025413,05:15:57,A,32.85437133333333,-96.67426133333332,3251.26228,N,09640.45568,W,0.999,171.56,2020-03-09
2020-03-09 00:15:59.029326,05:15:59,A,32.854364333333336,-96.67425566666667,3251.26186,N,09640.45534,W,0.879,,2020-03-09
2020-03-09 00:16:02.026288,05:16:02,A,32.854349666666664,-96.67424616666668,3251.26098,N,09640.45477,W,0.98,151.78,2020-03-09
2020-03-09 00:16:04.034312,05:16:04,A,32.8543485,-96.67424449999999,3251.26091,N,09640.45467,W,0.442,,2020-03-09
2020-03-09 00:16:07.027412,05:16:07,A,32.85435233333333,-96.67424566666665,3251.26114,N,09640.45474,W,0.052,,2020-03-09
2020-03-09 00:16:09.030036,05:16:09,A,32.854352999999996,-96.67424683333333,3251.26118,N,09640.45481,W,0.176,,2020-03-09
2020-03-09 00:16:12.024993,05:16:12,A,32.854352166666665,-96.67424683333333,3251.26113,N,09640.45481,W,0.303,,2020-03-09
2020-03-09 00:16:15.025546,05:16:15,A,32.8543525,-96.67424899999999,3251.26115,N,09640.45494,W,0.064,,2020-03-09
2020-03-09 00:16:18.025836,05:16:18,A,32.854357,-96.67425216666668,3251.26142,N,09640.45513,W,0.043,,2020-03-09
2020-03-09 00:16:21.025779,05:16:21,A,32.85435866666667,-96.67425466666667,3251.26152,N,09640.45528,W,0.083,,2020-03-09
2020-03-09 00:16:24.024141,05:16:24,A,32.854353833333334,-96.67425233333333,3251.26123,N,09640.45514,W,0.108,,2020-03-09
2020-03-09 00:16:27.025120,05:16:27,A,32.85435366666666,-96.67425216666668,3251.26122,N,09640.45513,W,0.117,,2020-03-09
2020-03-09 00:16:30.023010,05:16:30,A,32.854356333333335,-96.67425383333332,3251.26138,N,09640.45523,W,0.172,,2020-03-09
2020-03-09 00:16:32.025492,05:16:32,A,32.854358166666664,-96.67425466666667,3251.26149,N,09640.45528,W,0.021,,2020-03-09
2020-03-09 00:16:35.024872,05:16:35,A,32.854367499999995,-96.67425900000002,3251.26205,N,09640.45554,W,0.403,,2020-03-09
2020-03-09 00:16:38.024936,05:16:38,A,32.85437,-96.6742585,3251.26220,N,09640.45551,W,0.055,,2020-03-09
2020-03-09 00:16:41.025010,05:16:41,A,32.854373333333335,-96.67425883333333,3251.26240,N,09640.45553,W,0.029,,2020-03-09
2020-03-09 00:16:44.025122,05:16:44,A,32.854377500000005,-96.67426083333334,3251.26265,N,09640.45565,W,0.129,,2020-03-09
2020-03-09 00:16:47.025144,05:16:47,A,32.85438383333334,-96.67426400000001,3251.26303,N,09640.45584,W,0.307,,2020-03-09
