dateTime,c02,temperature,humidity
2020-03-09 00:24:23.710867,971,25,49
2020-03-09 00:24:28.751633,971,25,49
2020-03-09 00:24:33.776552,970,25,49
2020-03-09 00:24:38.817328,971,25,49
2020-03-09 00:24:43.842256,972,25,49
2020-03-09 00:24:48.883091,973,25,49
2020-03-09 00:24:53.940022,973,25,49
2020-03-09 00:24:58.948877,973,25,49
2020-03-09 00:25:04.005627,972,25,49
2020-03-09 00:25:09.014662,971,25,49
2020-03-09 00:25:14.055602,972,25,49
2020-03-09 00:25:19.080562,971,25,49
2020-03-09 00:25:24.121029,971,25,49
2020-03-09 00:25:29.145875,970,25,49
